"","Participant","Condition","Roundnr","Subjective_performance","Self.efficacy","Fluency","corrected_tick","remaining_rocks","victim_harm","idle_ticks","Human_idle","Robot_idle","Time_score","success"
"337",4073,"C3",1,60,59,41.4,3000,17,600,1,2802,50,4700,"timeout"
"338",4073,"C3",2,17,37,31.4,3000,34,0,2181,2837,2162,6400,"timeout"
"339",4073,"C3",3,11,34,38,3000,28,0,333,2843,2404,5800,"timeout"
"340",4073,"C3",4,26,57,48.6,3000,9,600,1,2741,72,3900,"timeout"
"341",4073,"C3",5,30,40,34.6,3000,19,600,1,2759,193,4900,"timeout"
"342",4073,"C3",6,10,12,10.8,3000,36,0,2255,2891,2723,6600,"timeout"
"343",4073,"C3",7,9,11,15,3000,25,100,1973,2814,2008,5500,"timeout"
"344",4073,"C3",8,12,9,54,2957,21,400,2,2771,1910,5057,"fatal"
"353",4081,"C3",1,10,90,40,3000,18,500,563,2838,600,4800,"timeout"
"354",4081,"C3",2,55,90,59,1270,0,0,10,1046,58,1270,"win"
"355",4081,"C3",3,60,90,36.8,887,0,0,2,706,38,887,"win"
"356",4081,"C3",4,65,90,26,1123,0,0,1,982,43,1123,"win"
"357",4081,"C3",5,60,90,26,922,0,100,1,759,40,922,"win"
"358",4081,"C3",6,10,90,1,3000,32,0,803,2770,2745,6200,"timeout"
"359",4081,"C3",7,0,80,13.33333333,3000,37,0,2786,2886,2800,6700,"timeout"
"360",4081,"C3",8,0,50,12,3000,30,200,2,2903,2679,6000,"timeout"
"361",4082,"C3",1,42,60,43.8,3000,19,1300,1,2743,358,4900,"timeout"
"362",4082,"C3",2,57,63,59.2,2582,0,0,1,2290,919,2582,"win"
"363",4082,"C3",3,62,64,64,2251,0,0,1,2023,500,2251,"win"
"364",4082,"C3",4,70,70,73,2356,0,0,1,2074,341,2356,"win"
"365",4082,"C3",5,50,62,44.2,3000,28,0,2668,2735,2899,5800,"timeout"
"366",4082,"C3",6,41,57,35,3000,26,0,2999,2699,3020,5600,"timeout"
"367",4082,"C3",7,54,64,61.16666667,2830,0,600,4,2519,2806,2830,"win"
"368",4082,"C3",8,52,57,40.4,3000,23,300,2451,2739,2833,5300,"timeout"
"369",4083,"C3",1,30,82,45.6,3000,21,0,1,2697,50,5100,"timeout"
"370",4083,"C3",2,41,91,43.6,2630,0,500,1,2265,54,2630,"win"
"371",4083,"C3",3,100,100,70,1355,0,0,12,1092,66,1355,"win"
"372",4083,"C3",4,70,90,60.6,2857,0,0,1822,2507,1843,2857,"win"
"373",4083,"C3",5,40,60,63,3000,9,800,1,2768,556,3900,"timeout"
"374",4083,"C3",6,40,60,50,3000,24,800,2922,2633,2943,5400,"timeout"
"375",4083,"C3",7,60,76,66.66666667,3000,27,700,1,2679,2536,5700,"timeout"
"376",4083,"C3",8,55,71,61.2,2237,0,1900,22,1963,112,2237,"win"
"385",4085,"C3",1,12,42,27.2,3000,16,900,1,2709,50,4600,"timeout"
"386",4085,"C3",2,83,58,66.2,1309,0,0,25,1082,53,1309,"win"
"387",4085,"C3",3,82,68,74.4,1361,0,0,6,1118,50,1361,"win"
"388",4085,"C3",4,61,62,63.2,3000,12,0,1913,2759,1942,4200,"timeout"
"389",4085,"C3",5,55,63,60.2,2577,0,200,1,2264,56,2577,"win"
"390",4085,"C3",6,59,58,60.6,3000,17,1000,2371,2743,2404,4700,"timeout"
"391",4085,"C3",7,84,69,73.16666667,1863,0,0,1,1612,46,1863,"win"
"392",4085,"C3",8,66,65,66.6,3000,14,700,1,2662,50,4400,"timeout"
"393",4086,"C3",1,4,85,21.2,3000,28,0,717,2811,1656,5800,"timeout"
"394",4086,"C3",2,0,22,0.4,3000,41,0,246,2976,2646,7100,"timeout"
"395",4086,"C3",3,0,16,0,3000,38,0,2999,2850,3020,6800,"timeout"
"396",4086,"C3",4,61,76,65.6,2077,0,0,1504,1812,1525,2077,"win"
"397",4086,"C3",5,45,63,38.4,2998,11,1100,1744,2650,1907,4098,"timeout"
"398",4086,"C3",6,43,56,57.6,3000,18,200,2034,2871,2030,4800,"timeout"
"399",4086,"C3",7,54,62,61.66666667,1769,0,100,1,1601,667,1769,"win"
"400",4086,"C3",8,45,46,43,1119,31,100,4,991,699,4219,"fatal"
"401",4087,"C3",1,13,11,14,3000,14,1000,1,2718,50,4400,"timeout"
"402",4087,"C3",2,57,50,54.6,1598,0,100,1,1375,56,1598,"win"
"403",4087,"C3",3,25,26,23.2,3000,26,0,2735,2804,2756,5600,"timeout"
"404",4087,"C3",4,73,69,79.2,1313,0,0,1,1141,46,1313,"win"
"405",4087,"C3",5,23,28,25,3000,27,400,2811,2729,2833,5700,"timeout"
"406",4087,"C3",6,30,45,45.4,2553,10,300,1,2317,54,3553,"fatal"
"407",4087,"C3",7,34,60,37.5,3000,19,700,1406,2753,1458,4900,"timeout"
"408",4087,"C3",8,62,38,37.2,3000,29,0,2844,2800,2866,5900,"timeout"
"417",4089,"C3",1,20,5,7,3000,17,400,1,2753,105,4700,"timeout"
"418",4089,"C3",2,0,0,4,3000,21,0,732,2748,776,5100,"timeout"
"419",4089,"C3",3,20,0,25,3000,7,1700,1,2685,1194,3700,"timeout"
"420",4089,"C3",4,30,0,36,2741,0,1000,1,2384,1606,2741,"win"
"421",4089,"C3",5,0,0,0,2027,13,1000,1,1743,45,3327,"fatal"
"422",4089,"C3",6,0,0,12.6,2321,7,2800,1,1989,53,3021,"fatal"
"423",4089,"C3",7,0,0,0.166666667,1815,14,600,1,1605,42,3215,"fatal"
"424",4089,"C3",8,0,0,0.6,2230,13,2200,1,1925,50,3530,"fatal"
"425",4090,"C3",1,8,87,34.6,3000,15,1000,2,2655,50,4500,"timeout"
"426",4090,"C3",2,60,75,58,3000,15,600,1,2732,809,4500,"timeout"
"427",4090,"C3",3,93,85,91,1857,0,100,46,1649,194,1857,"win"
"428",4090,"C3",4,10,60,17,3000,27,0,1756,2751,2580,5700,"timeout"
"429",4090,"C3",5,90,80,93,1359,0,0,16,1200,70,1359,"win"
"430",4090,"C3",6,97,90,93.6,1177,0,0,46,1041,64,1177,"win"
"431",4090,"C3",7,3,55,11.5,1771,13,300,3,1592,75,3071,"fatal"
"432",4090,"C3",8,7,55,3,3000,14,500,1617,2662,1667,4400,"timeout"
"433",4091,"C3",1,62,66,58.2,3000,23,1700,1,2734,61,5300,"timeout"
"434",4091,"C3",2,62,62,65.4,3000,8,0,1081,2877,1150,3800,"timeout"
"435",4091,"C3",3,66,61,68.2,3000,10,0,1696,2848,1909,4000,"timeout"
"436",4091,"C3",4,72,66,68.2,1774,0,0,96,1592,529,1774,"win"
"437",4091,"C3",5,52,65,66.8,3000,39,0,2987,2938,3009,6900,"timeout"
"438",4091,"C3",6,47,40,42.2,3000,37,0,2900,2814,2921,6700,"timeout"
"439",4091,"C3",7,41,41,37.16666667,3000,38,0,2933,2887,2954,6800,"timeout"
"440",4091,"C3",8,47,43,44.2,NA,0,NA,NA,2955,2991,NA,"win"
"441",4092,"C3",1,13,15,14.4,3000,29,400,1,2839,1018,5900,"timeout"
"442",4092,"C3",2,41,63,46.4,3000,7,1100,1,2723,50,3700,"timeout"
"443",4092,"C3",3,60,66,67.2,3000,7,600,1,2545,424,3700,"timeout"
"444",4092,"C3",4,43,44,41.8,3000,23,200,4,2775,1282,5300,"timeout"
"445",4092,"C3",5,61,70,61.8,2828,0,700,524,2579,868,2828,"win"
"446",4092,"C3",6,63,61,63,3000,13,200,1,2763,1194,4300,"timeout"
"447",4092,"C3",7,70,65,68.5,1466,0,0,1,1272,441,1466,"win"
"448",4092,"C3",8,76,75,61.8,2363,0,0,10,2136,249,2363,"win"
"449",4093,"C3",1,35,69,38.4,3000,20,500,4,2969,50,5000,"timeout"
"450",4093,"C3",2,50,61,56.2,3000,33,900,3,2911,61,6300,"timeout"
"451",4093,"C3",3,30,49,23.8,2555,0,100,1,2236,45,2555,"win"
"452",4093,"C3",4,21,11,11.4,3000,11,800,5,2669,50,4100,"timeout"
"453",4093,"C3",5,22,35,25.2,2055,12,1100,1,1824,40,3255,"fatal"
"454",4093,"C3",6,24,14,15,1888,14,400,1,1676,115,3288,"fatal"
"455",4093,"C3",7,13,18,18.33333333,1987,17,800,1,1767,49,3687,"fatal"
"456",4093,"C3",8,28,40,22,2387,0,0,1,2126,53,2387,"win"
"457",4094,"C3",1,17,86,23,3000,19,700,1,2700,50,4900,"timeout"
"458",4094,"C3",2,60,91,70,3000,15,1000,214,2672,138,4500,"timeout"
"459",4094,"C3",3,78,100,85,1415,0,0,76,1189,49,1415,"win"
"460",4094,"C3",4,60,100,60.6,1425,0,0,69,1159,59,1425,"win"
"461",4094,"C3",5,7,42,20.2,3000,29,0,2397,2669,2393,5900,"timeout"
"462",4094,"C3",6,10,40,12.8,3000,31,0,2201,2768,2217,6100,"timeout"
"463",4094,"C3",7,10,60,17.66666667,3000,27,0,2000,2724,2008,5700,"timeout"
"464",4094,"C3",8,15,25,24,3000,23,0,1522,2679,2558,5300,"timeout"
"465",4095,"C3",1,31,85,29.2,3000,15,300,1,2706,50,4500,"timeout"
"466",4095,"C3",2,10,81,15.2,3000,33,200,2496,2767,2525,6300,"timeout"
"467",4095,"C3",3,0,82,0,3000,35,0,2999,2746,3020,6500,"timeout"
"468",4095,"C3",4,30,80,53,3000,10,400,1,2712,820,4000,"timeout"
"469",4095,"C3",5,55,80,58.4,3000,13,600,1,2628,127,4300,"timeout"
"470",4095,"C3",6,89,80,84.2,2298,9,600,1,2119,52,3198,"fatal"
"471",4095,"C3",7,76,80,80.33333333,2375,10,600,1,2094,41,3375,"fatal"
"472",4095,"C3",8,65,81,66.6,2255,12,1100,1,1984,53,3455,"fatal"
"473",4096,"C3",1,24,74,35,3000,11,100,4,2749,61,4100,"timeout"
"474",4096,"C3",2,79,79,69.4,3000,14,0,6,2831,347,4400,"timeout"
"475",4096,"C3",3,37,77,60.8,2645,0,1000,266,2395,1433,2645,"win"
"476",4096,"C3",4,33,61,49.4,3000,15,300,1245,2838,1832,4500,"timeout"
"477",4096,"C3",5,14,85,37.2,3000,27,300,923,2913,2173,5700,"timeout"
"478",4096,"C3",6,10,87,23.4,2267,14,1200,229,2044,549,3667,"fatal"
"479",4096,"C3",7,7,83,21.16666667,3000,23,300,1083,2809,2448,5300,"timeout"
"480",4096,"C3",8,83,87,78.8,2985,0,0,38,2744,1377,2985,"win"
"481",4097,"C3",1,55,86,44.4,3000,12,100,6,2836,50,4200,"timeout"
"482",4097,"C3",2,25,38,21.6,3000,32,600,5,3020,61,6200,"timeout"
"483",4097,"C3",3,36,32,30.2,3000,24,0,1324,2888,1359,5400,"timeout"
"484",4097,"C3",4,59,35,48.6,3000,17,900,2317,2699,2338,4700,"timeout"
"485",4097,"C3",5,38,35,33.6,3000,30,400,2741,2701,2767,6000,"timeout"
"486",4097,"C3",6,19,38,22.2,3000,19,400,2594,2739,2624,4900,"timeout"
"487",4097,"C3",7,35,40,26.5,3000,24,0,1921,2720,2844,5400,"timeout"
"488",4097,"C3",8,41,40,24.6,3000,22,0,1906,2690,2569,5200,"timeout"
"489",4098,"C3",1,20,100,30,3000,6,1200,1,2680,61,3600,"timeout"
"490",4098,"C3",2,65,100,77,3000,9,300,3,2683,160,3900,"timeout"
"491",4098,"C3",3,65,100,64,2289,0,800,4,1912,65,2289,"win"
"492",4098,"C3",4,70,100,66,2993,3,500,1,2746,98,3293,"fatal"
"493",4098,"C3",5,0,100,29,1149,17,300,6,946,157,2849,"fatal"
"494",4098,"C3",6,0,100,77,1005,18,300,4,915,57,2805,"fatal"
"495",4098,"C3",7,10,100,35.83333333,3000,16,300,1094,2635,2536,4600,"timeout"
"496",4098,"C3",8,25,25,65,1907,7,1100,1,1644,134,2607,"fatal"
"497",4099,"C3",1,35,40,50,3000,16,1200,1,2653,61,4600,"timeout"
"498",4099,"C3",2,87,75,66.8,1832,0,100,35,1524,81,1832,"win"
"499",4099,"C3",3,100,90,95.6,1662,0,0,32,1531,76,1662,"win"
"500",4099,"C3",4,100,93,98.6,1306,0,0,22,1100,61,1306,"win"
"501",4099,"C3",5,45,89,63,3000,12,300,1,2796,842,4200,"timeout"
"502",4099,"C3",6,43,72,55.6,3000,18,200,12,2775,1612,4800,"timeout"
"503",4099,"C3",7,61,61,61.83333333,2069,8,900,2,1815,87,2869,"fatal"
"504",4099,"C3",8,72,71,74.6,2657,8,500,473,2488,521,3457,"fatal"
